SCLK,LMST,LTST,PRESSURE,PRESSURE_UNCERTAINTY,TRANSDUCER
674795317,00089M00:03:30.769,0088 23:56:52,759.28,,1
674795318,00089M00:03:31.742,0088 23:56:53,759.23,,1
674795319,00089M00:03:32.716,0088 23:56:54,759.25,,1
674795320,00089M00:03:33.689,0088 23:56:55,759.28,,1
674795321,00089M00:03:34.662,0088 23:56:56,759.25,,1
674795322,00089M00:03:35.635,0088 23:56:57,759.21,,1
674795323,00089M00:03:36.609,0088 23:56:58,759.25,,1
674795324,00089M00:03:37.582,0088 23:56:59,759.27,,1
674795325,00089M00:03:38.555,0088 23:57:00,759.27,,1
674795326,00089M00:03:39.528,0088 23:57:01,759.24,,1
674795327,00089M00:03:40.502,0088 23:57:02,759.24,,1
674795328,00089M00:03:41.475,0088 23:57:03,759.24,,1
674795329,00089M00:03:42.448,0088 23:57:04,759.22,,1
674795330,00089M00:03:43.421,0088 23:57:05,759.30,,1
674795331,00089M00:03:44.395,0088 23:57:06,759.24,,1
674795332,00089M00:03:45.368,0088 23:57:07,759.23,,1
674795333,00089M00:03:46.341,0088 23:57:08,759.28,,1
674795334,00089M00:03:47.314,0088 23:57:09,759.30,,1
674795335,00089M00:03:48.288,0088 23:57:10,759.25,,1
674795336,00089M00:03:49.261,0088 23:57:11,759.23,,1
674795337,00089M00:03:50.234,0088 23:57:12,759.23,,1
674795338,00089M00:03:51.207,0088 23:57:13,759.25,,1
674795339,00089M00:03:52.181,0088 23:57:14,759.27,,1
674795340,00089M00:03:53.154,0088 23:57:15,759.24,,1
674795341,00089M00:03:54.127,0088 23:57:16,759.22,,1
674795342,00089M00:03:55.100,0088 23:57:17,759.26,,1
674795343,00089M00:03:56.074,0088 23:57:18,759.26,,1
674795344,00089M00:03:57.047,0088 23:57:19,759.26,,1
674795345,00089M00:03:58.020,0088 23:57:20,759.28,,1
674795346,00089M00:03:58.993,0088 23:57:21,759.30,,1
674795347,00089M00:03:59.967,0088 23:57:22,759.28,,1
674795348,00089M00:04:00.940,0088 23:57:23,759.28,,1
674795349,00089M00:04:01.913,0088 23:57:24,759.34,,1
674795350,00089M00:04:02.886,0088 23:57:25,759.34,,1
674795351,00089M00:04:03.860,0088 23:57:25,759.27,,1
674795352,00089M00:04:04.833,0088 23:57:26,759.31,,1
674795353,00089M00:04:05.806,0088 23:57:27,759.20,,1
674795354,00089M00:04:06.779,0088 23:57:28,759.24,,1
674795355,00089M00:04:07.753,0088 23:57:29,759.26,,1
674795356,00089M00:04:08.726,0088 23:57:30,759.22,,1
674795357,00089M00:04:09.699,0088 23:57:31,759.26,,1
674795358,00089M00:04:10.672,0088 23:57:32,759.28,,1
674795359,00089M00:04:11.646,0088 23:57:33,759.28,,1
674795360,00089M00:04:12.619,0088 23:57:34,759.21,,1
674795361,00089M00:04:13.592,0088 23:57:35,759.28,,1
674795362,00089M00:04:14.565,0088 23:57:36,759.23,,1
674795363,00089M00:04:15.539,0088 23:57:37,759.27,,1
674795364,00089M00:04:16.512,0088 23:57:38,759.29,,1
674795365,00089M00:04:17.485,0088 23:57:39,759.27,,1
674795366,00089M00:04:18.458,0088 23:57:40,759.29,,1
674795367,00089M00:04:19.432,0088 23:57:41,759.24,,1
674795368,00089M00:04:20.405,0088 23:57:42,759.22,,1
674795369,00089M00:04:21.378,0088 23:57:43,759.24,,1
674795370,00089M00:04:22.351,0088 23:57:44,759.26,,1
674795371,00089M00:04:23.325,0088 23:57:45,759.28,,1
674795372,00089M00:04:24.298,0088 23:57:46,759.24,,1
674795373,00089M00:04:25.271,0088 23:57:47,759.30,,1
674795374,00089M00:04:26.244,0088 23:57:48,759.26,,1
674795375,00089M00:04:27.218,0088 23:57:49,759.23,,1
674795376,00089M00:04:28.191,0088 23:57:50,759.28,,1
674795377,00089M00:04:29.164,0088 23:57:51,759.27,,1
674795378,00089M00:04:30.137,0088 23:57:52,759.27,,1
674795379,00089M00:04:31.111,0088 23:57:53,759.27,,1
674795380,00089M00:04:32.084,0088 23:57:54,759.29,,1
674795381,00089M00:04:33.057,0088 23:57:55,759.27,,1
674795382,00089M00:04:34.030,0088 23:57:56,759.33,,1
674795383,00089M00:04:35.004,0088 23:57:57,759.33,,1
674795384,00089M00:04:35.977,0088 23:57:58,759.28,,1
674795385,00089M00:04:36.950,0088 23:57:59,759.28,,1
674795386,00089M00:04:37.923,0088 23:58:00,759.28,,1
674795387,00089M00:04:38.897,0088 23:58:01,759.28,,1
674795388,00089M00:04:39.870,0088 23:58:02,759.28,,1
674795389,00089M00:04:40.843,0088 23:58:02,759.28,,1
674795390,00089M00:04:41.816,0088 23:58:03,759.30,,1
674795391,00089M00:04:42.790,0088 23:58:04,759.27,,1
674795392,00089M00:04:43.763,0088 23:58:05,759.25,,1
674795393,00089M00:04:44.736,0088 23:58:06,759.31,,1
674795394,00089M00:04:45.709,0088 23:58:07,759.26,,1
674795395,00089M00:04:46.683,0088 23:58:08,759.31,,1
674795396,00089M00:04:47.656,0088 23:58:09,759.24,,1
674795397,00089M00:04:48.629,0088 23:58:10,759.28,,1
674795398,00089M00:04:49.602,0088 23:58:11,759.30,,1
674795399,00089M00:04:50.576,0088 23:58:12,759.23,,1
674795400,00089M00:04:51.549,0088 23:58:13,759.23,,1
674795401,00089M00:04:52.522,0088 23:58:14,759.28,,1
674795402,00089M00:04:53.496,0088 23:58:15,759.34,,1
674795403,00089M00:04:54.469,0088 23:58:16,759.27,,1
674795404,00089M00:04:55.442,0088 23:58:17,759.29,,1
674795405,00089M00:04:56.415,0088 23:58:18,759.31,,1
674795406,00089M00:04:57.389,0088 23:58:19,759.29,,1
674795407,00089M00:04:58.362,0088 23:58:20,759.31,,1
674795408,00089M00:04:59.335,0088 23:58:21,759.33,,1
674795409,00089M00:05:00.308,0088 23:58:22,759.28,,1
674795410,00089M00:05:01.282,0088 23:58:23,759.35,,1
674795411,00089M00:05:02.255,0088 23:58:24,759.28,,1
674795412,00089M00:05:03.228,0088 23:58:25,759.32,,1
674795413,00089M00:05:04.201,0088 23:58:26,759.34,,1
674795414,00089M00:05:05.175,0088 23:58:27,759.36,,1
674795415,00089M00:05:06.148,0088 23:58:28,759.38,,1
674798803,00089M01:00:03.525,0089 00:53:26,761.15,,1
674798804,00089M01:00:04.499,0089 00:53:27,761.18,,1
674798805,00089M01:00:05.472,0089 00:53:28,761.22,,1
674798806,00089M01:00:06.445,0089 00:53:29,761.24,,1
674798807,00089M01:00:07.418,0089 00:53:30,761.25,,1
674798808,00089M01:00:08.392,0089 00:53:31,761.27,,1
674798809,00089M01:00:09.365,0089 00:53:32,761.20,,1
674798810,00089M01:00:10.338,0089 00:53:33,761.26,,1
674798811,00089M01:00:11.311,0089 00:53:34,761.22,,1
674798812,00089M01:00:12.285,0089 00:53:35,761.26,,1
674798813,00089M01:00:13.258,0089 00:53:36,761.26,,1
674798814,00089M01:00:14.231,0089 00:53:37,761.21,,1
674798815,00089M01:00:15.204,0089 00:53:38,761.21,,1
674798816,00089M01:00:16.178,0089 00:53:39,761.25,,1
674798817,00089M01:00:17.151,0089 00:53:40,761.23,,1
674798818,00089M01:00:18.124,0089 00:53:41,761.23,,1
674798819,00089M01:00:19.097,0089 00:53:41,761.25,,1
674798820,00089M01:00:20.071,0089 00:53:42,761.18,,1
674798821,00089M01:00:21.044,0089 00:53:43,761.27,,1
674798822,00089M01:00:22.017,0089 00:53:44,761.20,,1
674798823,00089M01:00:22.990,0089 00:53:45,761.29,,1
674798824,00089M01:00:23.964,0089 00:53:46,761.22,,1
674798825,00089M01:00:24.937,0089 00:53:47,761.33,,1
674798826,00089M01:00:25.910,0089 00:53:48,761.24,,1
674798827,00089M01:00:26.883,0089 00:53:49,761.31,,1
674798828,00089M01:00:27.857,0089 00:53:50,761.30,,1
674798829,00089M01:00:28.830,0089 00:53:51,761.28,,1
674798830,00089M01:00:29.803,0089 00:53:52,761.28,,1
674798831,00089M01:00:30.777,0089 00:53:53,761.24,,1
674798832,00089M01:00:31.750,0089 00:53:54,761.23,,1
674798833,00089M01:00:32.723,0089 00:53:55,761.26,,1
674798834,00089M01:00:33.696,0089 00:53:56,761.32,,1
674798835,00089M01:00:34.670,0089 00:53:57,761.27,,1
674798836,00089M01:00:35.643,0089 00:53:58,761.26,,1
674798837,00089M01:00:36.616,0089 00:53:59,761.29,,1
674798838,00089M01:00:37.589,0089 00:54:00,761.25,,1
674798839,00089M01:00:38.563,0089 00:54:01,761.21,,1
674798840,00089M01:00:39.536,0089 00:54:02,761.23,,1
674798841,00089M01:00:40.509,0089 00:54:03,761.27,,1
674798842,00089M01:00:41.482,0089 00:54:04,761.25,,1
674798843,00089M01:00:42.456,0089 00:54:05,761.27,,1
674798844,00089M01:00:43.429,0089 00:54:06,761.25,,1
674798845,00089M01:00:44.402,0089 00:54:07,761.20,,1
674798846,00089M01:00:45.375,0089 00:54:08,761.24,,1
674798847,00089M01:00:46.349,0089 00:54:09,761.20,,1
674798848,00089M01:00:47.322,0089 00:54:10,761.20,,1
674798849,00089M01:00:48.295,0089 00:54:11,761.19,,1
674798850,00089M01:00:49.268,0089 00:54:12,761.13,,1
674798851,00089M01:00:50.242,0089 00:54:13,761.20,,1
674798852,00089M01:00:51.215,0089 00:54:14,761.20,,1
674798853,00089M01:00:52.188,0089 00:54:15,761.26,,1
674798854,00089M01:00:53.161,0089 00:54:16,761.17,,1
674798855,00089M01:00:54.135,0089 00:54:17,761.21,,1
674798856,00089M01:00:55.108,0089 00:54:17,761.21,,1
674798857,00089M01:00:56.081,0089 00:54:18,761.19,,1
674798858,00089M01:00:57.054,0089 00:54:19,761.21,,1
674798859,00089M01:00:58.028,0089 00:54:20,761.16,,1
674798860,00089M01:00:59.001,0089 00:54:21,761.21,,1
674798861,00089M01:00:59.974,0089 00:54:22,761.20,,1
674798862,00089M01:01:00.947,0089 00:54:23,761.16,,1
674798863,00089M01:01:01.921,0089 00:54:24,761.24,,1
674798864,00089M01:01:02.894,0089 00:54:25,761.16,,1
674798865,00089M01:01:03.867,0089 00:54:26,761.20,,1
674798866,00089M01:01:04.840,0089 00:54:27,761.18,,1
674798867,00089M01:01:05.814,0089 00:54:28,761.13,,1
674798868,00089M01:01:06.787,0089 00:54:29,761.18,,1
674798869,00089M01:01:07.760,0089 00:54:30,761.20,,1
674798870,00089M01:01:08.733,0089 00:54:31,761.18,,1
674798871,00089M01:01:09.707,0089 00:54:32,761.15,,1
674798872,00089M01:01:10.680,0089 00:54:33,761.15,,1
674798873,00089M01:01:11.653,0089 00:54:34,761.15,,1
674798874,00089M01:01:12.626,0089 00:54:35,761.10,,1
674798875,00089M01:01:13.600,0089 00:54:36,761.17,,1
674798876,00089M01:01:14.573,0089 00:54:37,761.15,,1
674798877,00089M01:01:15.546,0089 00:54:38,761.16,,1
674798878,00089M01:01:16.519,0089 00:54:39,761.17,,1
674798879,00089M01:01:17.493,0089 00:54:40,761.17,,1
674798880,00089M01:01:18.466,0089 00:54:41,761.23,,1
674798881,00089M01:01:19.439,0089 00:54:42,761.21,,1
674798882,00089M01:01:20.412,0089 00:54:43,761.16,,1
674798883,00089M01:01:21.386,0089 00:54:44,761.16,,1
674798884,00089M01:01:22.359,0089 00:54:45,761.25,,1
